Ypos,Zpos,Scan_min,Ext_y_min,Ext_z_min
34.75,35.25,0.19778873178326,10.0,10.0
34.75,35.5,0.31147680831717,10.0,30.0
34.75,35.75,0.26386550325081,10.0,40.0
34.75,36.0,0.25171869401056,10.0,50.0
34.75,36.25,0.25239414007507,0.0,60.0
34.75,36.5,0.23002608597021,0.0,70.0
34.75,36.75,0.20938999440236,0.0,80.0
34.75,37.0,0.21118443853104,0.0,90.0
34.75,37.25,0.18785176155867,0.0,100.0
34.75,37.5,0.1380035583239,0.0,110.0
34.75,37.75,0.075672409910833,0.0,120.0
34.75,38.0,0.24843201417946,0.0,130.0
34.75,38.25,0.078889891628128,0.0,130.0
34.75,38.5,0.17128933538758,0.0,130.0
34.75,38.75,0.29666956730168,0.0,120.0
35.0,31.0,0.16888285698734,10.0,-90.0
35.0,31.25,0.25754905488013,10.0,-120.0
35.0,31.5,0.18776666471297,10.0,-130.0
35.0,31.75,0.13805240303454,10.0,-130.0
35.0,32.0,0.28907372503292,10.0,-120.0
35.0,32.25,0.16902867320197,10.0,-120.0
35.0,32.5,0.19805446967782,10.0,-110.0
35.0,32.75,0.26166951914204,10.0,-100.0
35.0,33.0,0.24459221721392,0.0,-90.0
35.0,33.25,0.18222383342111,0.0,-80.0
35.0,33.5,0.13701865894576,0.0,-70.0
35.0,33.75,0.1076861184927,0.0,-60.0
35.0,34.0,0.16399780094127,0.0,-50.0
35.0,34.25,0.25962036483593,0.0,-40.0
35.0,34.5,0.22317331051385,0.0,-20.0
35.0,34.75,0.17084475145499,0.0,-10.0
35.0,35.0,0.1908241844124,0.0,0.0
35.0,35.25,0.27463799401674,0.0,10.0
35.0,35.5,0.30391279063114,-10.0,20.0
35.0,35.75,0.29137070417139,-10.0,40.0
35.0,36.0,0.18504471096497,-10.0,50.0
35.0,36.25,0.088892454049759,-10.0,60.0
35.0,36.5,0.018440395027494,-10.0,70.0
35.0,36.75,0.083922187216026,-10.0,80.0
35.0,37.0,0.13224967864003,-10.0,90.0
35.0,37.25,0.17583609846048,-10.0,100.0
35.0,37.5,0.19712593815128,-10.0,110.0
35.0,37.75,0.24928815939516,-10.0,120.0
35.0,38.0,0.36613718568361,-20.0,120.0
35.0,38.25,0.19403704223349,-20.0,130.0
35.0,38.5,0.21559128712801,-20.0,130.0
35.0,38.75,0.26947972729106,-20.0,120.0
35.0,39.0,0.17494067188966,-20.0,90.0
35.25,31.25,0.27399166286535,-10.0,-120.0
35.25,31.5,0.17428552256431,-10.0,-130.0
35.25,31.75,0.097567741799772,-10.0,-130.0
35.25,32.0,0.25978994139142,-10.0,-130.0
35.25,32.25,0.077296144745862,-10.0,-120.0
35.25,32.5,0.11047839868779,-10.0,-110.0
35.25,32.75,0.14717912096352,-10.0,-100.0
35.25,33.0,0.14379944436199,-10.0,-90.0
35.25,33.25,0.12606499064228,-10.0,-80.0
35.25,33.5,0.084711452179998,-10.0,-70.0
35.25,33.75,0.11451094965246,-10.0,-60.0
35.25,34.0,0.19570592704181,-10.0,-50.0
35.25,34.25,0.29234857453218,-10.0,-40.0
35.25,34.5,0.37111069204624,-10.0,-20.0
35.25,34.75,0.26839269033364,-20.0,-10.0
35.25,35.0,0.16862048577062,-20.0,0.0
35.25,35.25,0.10973318609666,-20.0,10.0
35.25,35.5,0.15604394110774,-20.0,20.0
35.25,35.75,0.25304184062153,-20.0,30.0
35.25,36.0,0.23431896314748,-20.0,50.0
35.25,36.25,0.18447743754711,-20.0,60.0
35.25,36.5,0.19038587489664,-20.0,70.0
35.25,36.75,0.25303029293331,-30.0,80.0
35.25,37.0,0.19732372305063,-30.0,90.0
35.25,37.25,0.12422282020356,-30.0,100.0
35.25,37.5,0.073598866722626,-30.0,110.0
35.25,37.75,0.15877671764014,-30.0,120.0
35.25,38.0,0.22420821712648,-30.0,120.0
35.25,38.25,0.28292425043304,-30.0,130.0
35.25,38.5,0.34098102910552,-40.0,130.0
35.25,38.75,0.28677265942261,-40.0,110.0
35.5,31.25,0.27996245890102,-30.0,-120.0
35.5,31.5,0.15592659644023,-30.0,-130.0
35.5,31.75,0.17034431028279,-30.0,-130.0
35.5,32.0,0.3003288310823,-30.0,-130.0
35.5,32.25,0.23468768393432,-20.0,-120.0
35.5,32.5,0.26521841801216,-20.0,-110.0
35.5,32.75,0.30786926803595,-20.0,-100.0
35.5,33.0,0.30966743794174,-20.0,-90.0
35.5,33.25,0.31305587679463,-30.0,-80.0
