Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
34.25,36.25,0.35424593054258,2.5,0.0
34.25,36.5,0.71410696189784,2.5,0.0
34.25,36.75,0.43888055527756,5.0,2.5
34.25,37.0,0.11306640748357,5.0,5.0
34.25,37.25,0.29621279301555,5.0,7.5
34.25,37.5,0.60639902903318,7.5,12.5
34.25,37.75,0.51375661471341,7.5,15.0
34.25,38.0,0.69744551802681,10.0,20.0
34.25,38.25,0.38146303580157,10.0,25.0
34.25,38.5,0.61264666454297,12.5,30.0
34.25,38.75,0.45003292512496,12.5,27.5
34.5,31.25,0.6504038642598,5.0,-32.5
34.5,31.5,0.62232296422758,2.5,-32.5
34.5,31.75,0.35633890224099,2.5,-27.5
34.5,32.0,0.46581920243622,2.5,-22.5
34.5,32.25,0.51202470175229,2.5,-17.5
34.5,32.5,0.29964356598924,2.5,-12.5
34.5,32.75,0.41490133102301,2.5,-7.5
34.5,33.0,0.25523150304867,2.5,-5.0
34.5,33.25,0.30236598369399,2.5,-2.5
34.5,33.5,0.50715091874711,2.5,-2.5
34.5,33.75,0.21338301135269,2.5,0.0
34.5,34.0,0.06677916290029,2.5,0.0
34.5,34.25,0.1701448384733,2.5,0.0
34.5,34.5,0.099991756947485,2.5,0.0
34.5,34.75,0.080747049090638,2.5,0.0
34.5,35.0,0.25321507665759,2.5,0.0
34.5,35.25,0.44147148691305,2.5,0.0
34.5,35.5,0.57512267442155,2.5,0.0
34.5,35.75,0.58544055641946,2.5,-2.5
34.5,36.0,0.52539721912224,2.5,0.0
34.5,36.25,0.28980288247544,2.5,0.0
34.5,36.5,0.39788538079707,2.5,0.0
34.5,36.75,0.43971545255594,2.5,2.5
34.5,37.0,0.56666689293704,5.0,5.0
34.5,37.25,0.24655258679711,5.0,7.5
34.5,37.5,0.56403765629438,5.0,10.0
34.5,37.75,0.64244246584512,7.5,15.0
34.5,38.0,0.26592649532883,7.5,20.0
34.5,38.25,0.41016904764137,7.5,25.0
34.5,38.5,0.41596071914682,10.0,30.0
34.5,38.75,0.64568018605881,10.0,27.5
34.75,31.25,0.83791009151393,0.0,-32.5
34.75,31.5,0.66560448104612,0.0,-30.0
34.75,31.75,0.6450643998687,0.0,-27.5
34.75,32.0,0.82026569075056,2.5,-22.5
34.75,32.25,0.73992795591483,2.5,-15.0
34.75,32.5,0.50714090485121,2.5,-12.5
34.75,32.75,0.41029080397881,2.5,-7.5
34.75,33.0,0.23029240891981,2.5,-5.0
34.75,33.25,0.28916402755005,2.5,-2.5
34.75,33.5,0.5569865493094,2.5,-2.5
34.75,33.75,0.19409839806356,2.5,0.0
34.75,34.0,0.22859423935178,2.5,0.0
34.75,34.25,0.30672155466502,2.5,0.0
34.75,34.5,0.23298619234682,2.5,0.0
34.75,34.75,0.21138771132068,2.5,0.0
34.75,35.0,0.3298593171486,2.5,0.0
34.75,35.25,0.50357657669223,2.5,0.0
34.75,35.5,0.64307758965958,2.5,0.0
34.75,35.75,0.61621627521008,2.5,-2.5
34.75,36.0,0.62521532826012,2.5,0.0
34.75,36.25,0.35619378007128,2.5,0.0
34.75,36.5,0.18192580467715,2.5,0.0
34.75,36.75,0.26541705882817,2.5,2.5
34.75,37.0,0.46716620456975,2.5,5.0
34.75,37.25,0.48456960082741,2.5,7.5
34.75,37.5,0.5898769753981,5.0,10.0
34.75,37.75,0.14278278376449,5.0,15.0
34.75,38.0,0.2612880554703,5.0,20.0
34.75,38.25,0.53937934993552,5.0,25.0
34.75,38.5,0.40445895089971,7.5,30.0
34.75,38.75,0.53764657647293,7.5,30.0
